,ensembl_gene_id,external_gene_id,con1_ExpCounts,con2_ExpCounts,mic1_ExpCounts,mic2_ExpCounts,mic3_ExpCounts
6243,ENSRNOG00000016306,Adgrv1,2.6234798098,1.9067750412,1.0748022791,0.7509201316,1.1809360981
6244,ENSRNOG00000016308,Il10ra,1.2555309351,0.2574261589,3.1188543146,2.5389628508,3.1705349297
6245,ENSRNOG00000016309,Rgp1,1.877513572,2.3072536519,3.4663608705,3.4017475586,3.0342458504
6246,ENSRNOG00000016313,Ctnnbip1,2.5827402078,1.9675538319,3.4905377941,3.4850609824,3.1963131656
6247,ENSRNOG00000016315,Cnpy3,4.4839327011,4.6016248346,5.6066088191,5.5929922459,5.5813845111
6248,ENSRNOG00000016316,Mcm2,2.8463602196,2.543003064,5.3728530508,5.3605892285,5.0961036495
6249,ENSRNOG00000016321,Entpd4,4.9561350752,5.057645315,6.207824342,6.0934529911,6.0580970365
6250,ENSRNOG00000016322,Camk2n1,1.7360632449,1.5224014728,2.7563474211,2.2703429815,2.3978813878
6251,ENSRNOG00000016325,F2,10.8626020379,10.8853563459,9.8237253103,9.6826793856,9.6102544778
6252,ENSRNOG00000016326,Cx3cl1,0.3474039476,-0.6523807035,2.0929942941,1.8708699648,1.2806982225
6253,ENSRNOG00000016327,Mcee,4.4616366098,4.3366578513,3.7259760585,4.0039678039,4.1967332312
6254,ENSRNOG00000016330,Rbm12b,1.7821340753,1.1516764056,3.0359671582,3.5076655821,3.1776699843
6255,ENSRNOG00000016334,Ptbp3,4.6260399097,4.4304922757,5.7027704471,5.7599813671,5.4347878875
6256,ENSRNOG00000016337,Slc22a1,7.3132604229,7.1695370952,7.5818868491,7.0097640854,7.2010850803
6257,ENSRNOG00000016338,Fam92a,1.8085212925,2.210982879,3.1393881198,3.2737072631,3.3069335253
6258,ENSRNOG00000016339,Uox,8.7086922451,9.5845580348,8.3380671651,8.3697108675,8.3495750525
6259,ENSRNOG00000016342,Atg10,1.403225435,0.9469437812,2.4127251879,2.446965641,2.5851446645
6260,ENSRNOG00000016343,Dkk3,0.6131937373,-0.1912440573,1.8654039048,1.5108167447,1.5838606095
6261,ENSRNOG00000016346,Prkcd,3.2228983956,3.7714223329,5.0403298747,4.8248106991,5.0806502055
6262,ENSRNOG00000016348,Tat,8.5996614631,10.0848095183,8.7604218269,9.3766431723,9.1063664311
6263,ENSRNOG00000016349,Gnmt,7.5242536506,7.3867647903,1.9628650018,1.7107760675,1.7504214525
6264,ENSRNOG00000016351,Frrs1,4.5541034266,4.652911064,5.2958054114,5.2424171496,5.2926571109
6265,ENSRNOG00000016352,Cbfa2t2,3.0838428996,2.6200005204,3.4251432459,3.795962755,3.5661486698
6266,ENSRNOG00000016353,Nim1k,3.5997880599,0.6732957957,-0.6102350801,-0.1925653659,1.0170296647
6267,ENSRNOG00000016356,Got1,6.1743522032,7.5974252802,5.3926171495,5.9781589285,5.7365793308
6268,ENSRNOG00000016357,Casc4,0.3474039476,-1.0695048655,1.5650168903,2.0059606632,1.3281061937
6269,ENSRNOG00000016360,Gps2,2.6631005088,2.9079199101,4.3696876496,4.3909927725,4.5909737911
6270,ENSRNOG00000016362,Gpr4,-0.9995623168,-0.1912440573,1.7894835517,1.6820083354,1.6224023677
6271,ENSRNOG00000016364,Gba2,3.3958399112,3.1989179392,4.0440957038,4.0437690254,4.0489343154
6272,ENSRNOG00000016366,Colec12,1.2555309351,0.9957229428,2.3612080071,2.037845409,3.0053719946
6273,ENSRNOG00000016367,Vasp,3.8215387977,3.6298503217,6.3284513775,6.0287595699,6.3252161879
6274,ENSRNOG00000016371,Slc18b1,3.5319638903,2.7626658466,5.6482909153,5.6788130697,5.2986194794
6275,ENSRNOG00000016372,Slc12a7,5.8185380335,5.2903974836,7.1144459632,6.9775640896,6.6634559962
6276,ENSRNOG00000016374,Fgfr2,5.3199451809,5.5085919267,5.5092680658,5.8901348033,5.4562835816
6277,ENSRNOG00000016377,Cep55,-0.1060851049,0.0504629582,2.0062173925,2.9938356328,2.7852483234
6278,ENSRNOG00000016378,Map3k8,1.1013944824,1.396744637,2.4294967296,2.2432488261,1.9295426416
6279,ENSRNOG00000016379,Jtb,4.7120425735,4.6578495273,5.8236183362,5.8257492833,5.9941739135
6280,ENSRNOG00000016383,Commd3,4.7553960057,4.7686118404,5.8672350118,5.8502879291,6.0404153037
6281,ENSRNOG00000016384,Pik3cb,5.569588948,5.0748423461,5.4773629116,5.6939760733,5.6176086871
6282,ENSRNOG00000016387,Rpl34,5.4611593479,5.3749951909,7.3377260819,7.1695078413,7.931272493
